model,bucket,range_s,n_samples,R1@0.5,R1@0.7,mean_iou,mean_gt_length,mean_pred_length
moment_detr,short,0-10,212,38.21,19.81,0.3854,4.6,34.7
moment_detr,medium,10-30,787,55.27,37.1,0.4855,19.2,30.7
moment_detr,long,30-150,551,58.44,42.11,0.5497,61.2,52.9
qd_detr,short,0-10,212,50.0,32.55,0.4752,4.6,32.0
qd_detr,medium,10-30,787,64.68,46.51,0.5649,19.2,30.0
qd_detr,long,30-150,551,62.98,49.0,0.6031,61.2,56.9
cg_detr,short,0-10,212,49.06,32.55,0.4809,4.6,32.5
cg_detr,medium,10-30,787,66.71,48.67,0.5878,19.2,30.3
cg_detr,long,30-150,551,62.61,49.73,0.6108,61.2,58.0
